id,Decomposition,Commenting,Instance Variables and Parameters and Constants,Naming and Spacing,Logic and Redundancy
9711,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
9736,Major Issues,No comments or lots missing,Perfect,Minor Issues,Minor Issues
9743,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
9829,Minor Issues,Perfect,Minor Issues,Perfect,Major Issues
9947,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
9950,Perfect,Perfect,Perfect,Perfect,Minor Issues
9955,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
9959,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
9961,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
9963,Minor Issues,Perfect,Perfect,Perfect,Perfect
9965,Major Issues,Perfect,Perfect,Minor Issues,Minor Issues
9966,Major Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
9967,Major Issues,Perfect,Major Issues,Perfect,Perfect
9968,Minor Issues,Major Issues,Perfect,Minor Issues,Minor Issues
9969,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
9970,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
9972,Perfect,Perfect,Major Issues,Perfect,Major Issues
9977,Perfect,Perfect,Major Issues,Perfect,Minor Issues
9978,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
9980,Perfect,Perfect,Minor Issues,Perfect,Perfect
9983,Major Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
9992,Minor Issues,Major Issues,Major Issues,Minor Issues,Major Issues
9994,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
9997,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10003,Major Issues,Major Issues,Perfect,Minor Issues,Perfect
10008,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
10009,Minor Issues,Perfect,Perfect,Minor Issues,Perfect
10010,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
10011,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10012,Perfect,Perfect,Perfect,Perfect,Minor Issues
10014,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10016,Minor Issues,Minor Issues,Minor Issues,Major Issues,Minor Issues
10026,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10028,Minor Issues,Major Issues,Perfect,Perfect,Perfect
10029,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
10030,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
10032,Perfect,Perfect,Perfect,Minor Issues,Perfect
10040,Perfect,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10047,Minor Issues,Major Issues,Perfect,Perfect,Minor Issues
10048,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10053,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
10056,Perfect,Minor Issues,Perfect,Perfect,Minor Issues
10062,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10070,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
10077,Minor Issues,Major Issues,Minor Issues,Minor Issues,Minor Issues
10079,Minor Issues,Major Issues,Minor Issues,Perfect,Perfect
10080,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
10081,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10083,Perfect,Perfect,Minor Issues,Perfect,Perfect
10084,Minor Issues,Minor Issues,Minor Issues,Perfect,Perfect
10085,Minor Issues,Perfect,Major Issues,Perfect,Perfect
10086,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10087,Major Issues,Minor Issues,Perfect,Perfect,Minor Issues
10088,Major Issues,Perfect,Perfect,Minor Issues,Minor Issues
10089,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
10090,Perfect,Minor Issues,Minor Issues,Minor Issues,Perfect
10092,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
10093,Perfect,Minor Issues,Minor Issues,Perfect,Perfect
10094,Perfect,Perfect,Perfect,Minor Issues,Perfect
10096,Perfect,Perfect,Minor Issues,Minor Issues,Minor Issues
10097,Perfect,Perfect,Minor Issues,Perfect,Perfect
10098,Perfect,Minor Issues,Minor Issues,Perfect,Minor Issues
10099,Perfect,Perfect,Minor Issues,Minor Issues,Minor Issues
10101,Minor Issues,Perfect,Perfect,Major Issues,Major Issues
10102,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
10103,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10104,Minor Issues,Minor Issues,Perfect,Perfect,Minor Issues
10105,Perfect,Perfect,Perfect,Perfect,Perfect
10106,Perfect,Perfect,Perfect,Perfect,Perfect
10107,Perfect,Perfect,Perfect,Perfect,Perfect
10109,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
10110,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10111,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10112,Minor Issues,Perfect,Minor Issues,Minor Issues,Perfect
10113,Perfect,Perfect,Perfect,Perfect,Minor Issues
10114,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
10116,Perfect,Perfect,Minor Issues,Perfect,Perfect
10117,Perfect,Perfect,Perfect,Perfect,Perfect
10118,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10120,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
10121,Major Issues,Perfect,Minor Issues,Perfect,Minor Issues
10122,Perfect,Perfect,Minor Issues,Minor Issues,Perfect
10123,Minor Issues,Perfect,Perfect,Perfect,Minor Issues
10124,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
10125,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10126,Major Issues,Perfect,Perfect,Minor Issues,Perfect
10127,Minor Issues,Minor Issues,Minor Issues,Perfect,Perfect
10128,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10129,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Minor Issues
10130,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10131,Minor Issues,Perfect,Major Issues,Perfect,Perfect
10132,Minor Issues,Perfect,Perfect,Perfect,Perfect
10133,Perfect,Perfect,Minor Issues,Perfect,Perfect
10134,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
10136,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
10137,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
10138,Perfect,Minor Issues,Perfect,Perfect,Perfect
10139,Perfect,Perfect,Perfect,Perfect,Perfect
10140,Minor Issues,Perfect,Perfect,Perfect,Major Issues
10141,Minor Issues,Minor Issues,Minor Issues,Perfect,Perfect
10142,Perfect,Perfect,Perfect,Minor Issues,Perfect
10143,Perfect,Minor Issues,Perfect,Perfect,Perfect
10144,Minor Issues,Minor Issues,Major Issues,Perfect,Perfect
10145,Perfect,Perfect,Minor Issues,Perfect,Minor Issues
10146,Perfect,Minor Issues,Minor Issues,Perfect,Perfect
10147,Perfect,Perfect,Minor Issues,Minor Issues,Minor Issues
10148,Perfect,Perfect,Minor Issues,Perfect,Perfect
10149,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
10151,Minor Issues,Perfect,Minor Issues,Perfect,Minor Issues
10152,Minor Issues,Perfect,Minor Issues,Minor Issues,Minor Issues
10153,Major Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
10154,Perfect,Perfect,Minor Issues,Minor Issues,Perfect
10156,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
10157,Perfect,Perfect,Perfect,Minor Issues,Perfect
10158,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
10159,Minor Issues,Minor Issues,Minor Issues,Major Issues,Minor Issues
10160,Minor Issues,Minor Issues,Minor Issues,Perfect,Minor Issues
10161,Perfect,Perfect,Major Issues,Perfect,Minor Issues
10162,Perfect,Perfect,Minor Issues,Perfect,Perfect
10163,Perfect,Minor Issues,Perfect,Minor Issues,Perfect
10164,Minor Issues,Minor Issues,Perfect,Minor Issues,Minor Issues
10165,Minor Issues,Perfect,Minor Issues,Perfect,Perfect
10166,Minor Issues,Minor Issues,Minor Issues,Minor Issues,Perfect
10167,Perfect,Minor Issues,Minor Issues,Perfect,Minor Issues
10168,Perfect,Perfect,Perfect,Minor Issues,Minor Issues
10169,Perfect,Perfect,Perfect,Minor Issues,Perfect
10170,Minor Issues,Perfect,Major Issues,Perfect,Minor Issues
10171,Perfect,Perfect,Perfect,Perfect,Minor Issues
